V1.0,291021
X	Y	TYPE	SPEED	DirType	Direction
59.5755645	42.4859956	1	70	1	186
59.5757254	42.4860353	1	70	1	4
67.3602867	37.2778717	1	70	1	216
67.3285123	37.2516451	3	60	1	292
67.3278364	37.2517565	3	60	1	110
67.3281261	37.2519195	3	60	1	188
67.3281046	37.2515078	3	60	1	8
59.4987350	42.4322810	1	70	1	74
59.5618839	42.4474907	1	70	1	234
59.5619805	42.4474311	1	70	1	76
67.2793950	37.2365670	3	20	1	204
67.2672000	37.2238000	3	20	1	252
67.2776000	37.2173900	3	20	1	224
67.2949130	37.2382660	3	20	1	234
67.2712403	37.2292928	3	20	1	82
67.2734000	37.2253000	3	20	1	254
67.2975000	37.2142000	3	20	1	156
67.2718000	37.2295000	3	20	1	254
67.2973000	37.2330000	3	20	1	234
67.2861000	37.2485000	3	20	1	24
67.2844000	37.2455000	3	20	1	24
67.2824000	37.2418000	3	20	1	24
67.2806000	37.2387000	3	20	1	24
67.2767390	37.2316730	3	20	1	0
59.6941659	42.6266026	1	70	1	212
68.0376000	40.5159000	1	70	1	16
68.0374391	40.5159000	1	70	1	196
68.1675187	40.0875868	1	70	1	96
68.1673577	40.0876857	1	70	1	276
59.5447684	42.4453532	1	90	1	62
59.5446289	42.4454327	1	90	1	262
59.5850875	42.4561620	3	70	1	74
69.2798330	41.2860280	5	70	1	210
69.2773890	41.2831110	5	70	1	34
69.2298610	41.2612700	5	70	1	236
67.2634440	37.2126280	3	50	1	124
68.6648520	40.8550140	1	70	1	190
68.6650022	40.8550833	1	70	1	354
69.2758552	41.2444556	1	70	1	270
69.2758499	41.2442896	1	70	1	90
59.6343408	42.4109990	1	70	1	198
69.3470342	41.2396393	1	70	1	220
69.3371182	41.2345518	1	70	1	242
69.3372791	41.2345032	1	70	1	64
69.3472380	41.2396798	1	70	1	34
69.3622954	41.2734592	1	70	1	348
66.8627735	39.9081100	1	50	1	352
66.8625911	39.9080356	1	50	1	170
66.7943740	39.8546890	1	70	1	128
67.0536160	39.6318267	1	70	1	306
67.0536268	39.6316650	1	70	1	122
65.3740731	40.1174863	3	70	1	250
65.3732523	40.1171569	3	70	1	70
65.3734669	40.1175193	3	70	1	160
65.3738317	40.1170580	3	70	1	340
65.3694996	40.1254631	3	70	1	340
65.3689471	40.1255208	3	70	1	70
65.3691080	40.1259325	3	70	1	160
65.3695586	40.1257637	3	70	1	250
